time,hu
1960-08-28,68.4635
1960-08-29,69.3695
1960-08-30,73.976
1960-08-31,76.000496
1960-09-01,73.832
1960-09-02,70.5845
1960-09-03,65.54
1960-09-04,62.138496
1960-09-05,78.090996
1960-09-06,83.1365
1960-09-07,71.907
1960-09-08,67.3385
1960-09-09,73.4855
1960-09-10,73.558
1960-09-11,76.2065
1960-09-12,75.0105
1960-09-13,70.229
1960-09-14,68.4355
1960-09-15,66.3465
1960-09-16,66.465
1960-09-17,61.5225
1960-09-18,67.265495
1960-09-19,62.6245
1960-09-20,68.3835
1960-09-21,64.6805
1960-09-22,88.5765
1960-09-23,84.402
1960-09-24,73.505
1960-09-25,72.495995
1960-09-26,79.0475
1960-09-27,72.128
1960-09-28,88.8865
1960-09-29,75.4255
1960-09-30,81.963
1960-10-01,89.75842
1960-10-02,88.573685
1960-10-03,86.9595
1960-10-04,83.475
1960-10-05,82.2905
1960-10-06,79.181496
1960-10-07,88.424736
1960-10-08,84.7515
1960-10-09,81.016
1960-10-10,83.037
1960-10-11,88.07
1960-10-12,86.4685
1960-10-13,88.46611
1960-10-14,81.53
1960-10-15,82.737
1960-10-16,88.226845
1960-10-17,85.904
1960-10-18,80.196
1960-10-19,82.798996
1960-10-20,84.99263
1960-10-21,89.871056
1960-10-22,85.76
1960-10-23,84.4065
1960-10-24,85.725
1960-10-25,90.972946
1960-10-26,84.2865
1960-10-27,82.611496
1960-10-28,84.1355
1960-10-29,70.6705
1960-10-30,70.201996
1960-10-31,77.548
1960-11-01,87.825
1960-11-02,87.719
1960-11-03,92.884705
1960-11-04,83.2345
1960-11-05,65.4065
1960-11-06,89.6185
1960-11-07,90.38588
1960-11-08,88.88368
1960-11-09,88.83538
1960-11-10,91.66231
1960-11-11,92.94
1960-11-12,91.58125
1960-11-13,87.657
1960-11-14,92.35889
1960-11-15,92.59778
1960-11-16,92.05167
1960-11-17,85.353
1960-11-18,89.0695
1960-11-19,89.216
1960-11-20,85.4875
1960-11-21,85.49834
1960-11-22,85.70111
1960-11-23,87.129
1960-11-24,93.11222
1960-11-25,92.74333
1960-11-26,90.67222
1960-11-27,91.898
1960-11-28,89.11823
1960-11-29,87.03842
1960-11-30,80.984
1960-12-01,88.94
1960-12-02,84.21526
1960-12-03,92.50285
1960-12-04,83.354
1960-12-05,79.7055
1960-12-06,73.701
1960-12-07,66.282
1960-12-08,87.456665
1960-12-09,90.663124
1960-12-10,84.4625
1960-12-11,91.57389
1960-12-12,91.28928
1960-12-13,93.796
1960-12-14,93.06286
1960-12-15,92.31909
1960-12-16,93.276665
1960-12-17,
1960-12-18,90.65417
1960-12-19,85.50421
1960-12-20,87.390526
1960-12-21,79.1575
1960-12-22,89.36
1960-12-23,87.560524
1960-12-24,88.44111
1960-12-25,91.03625
1960-12-26,89.456665
1960-12-27,92.44
1960-12-28,93.48583
1960-12-29,93.41
1960-12-30,90.854004
1960-12-31,93.522224
1961-01-01,92.975624
1961-01-02,91.858574
1961-01-03,85.19
1961-01-04,79.409996
1961-01-05,86.1621
1961-01-06,85.1395
1961-01-07,89.39684
1961-01-08,89.13526
1961-01-09,90.29059
1961-01-10,91.13467
1961-01-11,87.33421
1961-01-12,83.29222
1961-01-13,81.78
1961-01-14,85.170525
1961-01-15,92.05
1961-01-16,90.281815
1961-01-17,78.46
1961-01-18,68.6595
1961-01-19,71.965996
1961-01-20,81.465
1961-01-21,77.364
1961-01-22,78.966995
1961-01-23,80.822
1961-01-24,90.441666
1961-01-25,87.42
1961-01-26,77.5435
1961-01-27,77.4095
1961-01-28,79.678
1961-01-29,84.572
1961-01-30,81.524
